 

stn;time;tre200d0
GVE;19950713;24.2
GVE;19950714;21.5
GVE;19950715;21.7
GVE;19950716;19.7
GVE;19950717;19.4
GVE;19950718;21.7
GVE;19950719;23.3
GVE;19950720;25.7
GVE;19950721;27.4
GVE;19950722;24.1
GVE;19950723;20.0
GVE;19950724;20.8
GVE;19950725;22.3
GVE;19950726;26.2
GVE;19950727;24.6
GVE;19950728;22.4
GVE;19950729;22.7
GVE;19950730;22.8
GVE;19950731;21.6
GVE;19950801;23.2
GVE;19950802;24.2
GVE;19950803;22.7
GVE;19950804;23.0
GVE;19950805;22.5
GVE;19950806;22.4
GVE;19950807;20.6
GVE;19950808;17.2
GVE;19950809;18.0
GVE;19950810;20.0
GVE;19950811;20.9
GVE;19950812;20.6
GVE;19950813;20.6
GVE;19950814;20.0
GVE;19950815;20.5
GVE;19950816;21.0
GVE;19950817;19.6
GVE;19950818;19.1
GVE;19950819;19.2
GVE;19950820;19.0
GVE;19950821;20.6
GVE;19950822;20.2
GVE;19950823;21.4
GVE;19950824;18.3
GVE;19950825;19.0
GVE;19950826;19.4
GVE;19950827;18.3
GVE;19950828;13.9
GVE;19950829;13.8
GVE;19950830;13.7
GVE;19950831;13.2
GVE;19950901;13.4
GVE;19950902;14.0
GVE;19950903;13.0
GVE;19950904;13.1
GVE;19950905;12.4
GVE;19950906;15.5
GVE;19950907;13.7
GVE;19950908;14.3
GVE;19950909;15.3
GVE;19950910;15.9
GVE;19950911;17.8
GVE;19950912;14.8
GVE;19950913;13.7
GVE;19950914;13.5
GVE;19950915;14.7
GVE;19950916;13.8
GVE;19950917;14.7
GVE;19950918;15.7
GVE;19950919;14.6
GVE;19950920;13.3
GVE;19950921;13.9
GVE;19950922;13.5
GVE;19950923;12.4
GVE;19950924;12.8
GVE;19950925;10.9
GVE;19950926;11.0
GVE;19950927;12.5
GVE;19950928;12.1
GVE;19950929;8.5
GVE;19950930;8.1
GVE;19951001;13.3
GVE;19951002;13.9
GVE;19951003;16.6
GVE;19951004;17.7
GVE;19951005;15.1
GVE;19951006;15.6
GVE;19951007;14.7
GVE;19951008;14.4
GVE;19951009;14.4
GVE;19951010;15.0
GVE;19951011;15.1
GVE;19951012;15.8
GVE;19951013;15.3
GVE;19951014;15.0
GVE;19951015;15.6
GVE;19951016;15.0
GVE;19951017;14.6
GVE;19951018;13.5
GVE;19951019;14.6
GVE;19951020;14.4
GVE;19951021;12.0
GVE;19951022;10.9
GVE;19951023;10.1
GVE;19951024;9.2
GVE;19951025;10.4
GVE;19951026;11.2
GVE;19951027;13.6
GVE;19951028;14.1
GVE;19951029;13.3
GVE;19951030;13.5
GVE;19951031;13.3
GVE;19951101;11.6
GVE;19951102;8.1
GVE;19951103;7.5
GVE;19951104;3.3
GVE;19951105;1.5
GVE;19951106;1.4
GVE;19951107;1.1
GVE;19951108;3.8
GVE;19951109;3.9
GVE;19951110;5.7
GVE;19951111;7.4
GVE;19951112;8.8
GVE;19951113;9.8
GVE;19951114;9.1
GVE;19951115;9.0
GVE;19951116;12.1
GVE;19951117;9.9
GVE;19951118;1.8
GVE;19951119;1.0
GVE;19951120;4.0
GVE;19951121;3.6
GVE;19951122;4.1
GVE;19951123;6.4
GVE;19951124;5.7
GVE;19951125;4.9
GVE;19951126;4.2
GVE;19951127;4.9
GVE;19951128;5.5
GVE;19951129;4.8
GVE;19951130;3.8
GVE;19951201;2.7
GVE;19951202;3.7
GVE;19951203;3.5
GVE;19951204;3.2
GVE;19951205;1.1
GVE;19951206;0.7
GVE;19951207;0.2
GVE;19951208;1.5
GVE;19951209;-0.8
GVE;19951210;1.1
GVE;19951211;0.3
GVE;19951212;1.5
GVE;19951213;-0.1
GVE;19951214;-1.5
GVE;19951215;-1.0
GVE;19951216;0.2
GVE;19951217;2.2
GVE;19951218;3.8
GVE;19951219;2.1
GVE;19951220;4.0
GVE;19951221;7.4
GVE;19951222;8.7
GVE;19951223;11.0
GVE;19951224;10.5
GVE;19951225;11.2
GVE;19951226;4.2
GVE;19951227;0.1
GVE;19951228;-2.2
GVE;19951229;-2.2
GVE;19951230;-0.4
GVE;19951231;1.5
GVE;19960101;2.9
GVE;19960102;4.3
GVE;19960103;4.0
GVE;19960104;2.4
GVE;19960105;2.0
GVE;19960106;3.5
GVE;19960107;5.2
GVE;19960108;5.1
GVE;19960109;4.3
GVE;19960110;3.9
GVE;19960111;5.5
GVE;19960112;6.4
GVE;19960113;4.9
GVE;19960114;4.6
GVE;19960115;3.7
GVE;19960116;2.8
GVE;19960117;1.5
GVE;19960118;0.6
GVE;19960119;-0.2
GVE;19960120;0.2
GVE;19960121;0.5
GVE;19960122;0.5
GVE;19960123;1.6
GVE;19960124;2.7
GVE;19960125;1.9
GVE;19960126;2.6
GVE;19960127;4.2
GVE;19960128;2.5
GVE;19960129;1.4
GVE;19960130;-0.1
GVE;19960131;-0.2
GVE;19960201;0.5
GVE;19960202;1.6
GVE;19960203;5.1
GVE;19960204;2.1
GVE;19960205;-1.0
GVE;19960206;-2.3
GVE;19960207;1.3
GVE;19960208;0.7
GVE;19960209;-1.4
GVE;19960210;2.5
GVE;19960211;4.2
GVE;19960212;3.9
GVE;19960213;2.9
GVE;19960214;1.7
GVE;19960215;0.6
GVE;19960216;1.2
GVE;19960217;3.2
GVE;19960218;4.2
GVE;19960219;2.8
GVE;19960220;-1.1
GVE;19960221;-0.3
GVE;19960222;-2.7
GVE;19960223;-3.9
GVE;19960224;-0.9
GVE;19960225;2.9
GVE;19960226;4.0
GVE;19960227;4.4
GVE;19960228;4.8
GVE;19960229;3.3
GVE;19960301;2.2
GVE;19960302;2.4
GVE;19960303;1.0
GVE;19960304;0.9
GVE;19960305;0.6
GVE;19960306;1.1
GVE;19960307;0.9
GVE;19960308;2.6
GVE;19960309;3.5
GVE;19960310;2.2
GVE;19960311;2.3
GVE;19960312;-0.9
GVE;19960313;-0.1
GVE;19960314;3.5
GVE;19960315;4.9
GVE;19960316;5.5
GVE;19960317;7.4
GVE;19960318;7.4
GVE;19960319;7.6
GVE;19960320;6.9
GVE;19960321;9.4
GVE;19960322;8.6
GVE;19960323;9.5
GVE;19960324;11.6
GVE;19960325;12.8
GVE;19960326;11.1
GVE;19960327;7.2
GVE;19960328;4.9
GVE;19960329;3.8
GVE;19960330;3.8
GVE;19960331;3.2
GVE;19960401;2.2
GVE;19960402;4.2
GVE;19960403;3.2
GVE;19960404;3.0
GVE;19960405;4.7
GVE;19960406;7.7
GVE;19960407;10.9
GVE;19960408;10.3
GVE;19960409;9.4
GVE;19960410;10.6
GVE;19960411;10.6
GVE;19960412;9.7
GVE;19960413;8.7
GVE;19960414;7.4
GVE;19960415;7.7
GVE;19960416;8.3
GVE;19960417;10.3
GVE;19960418;11.7
GVE;19960419;13.2
GVE;19960420;15.3
GVE;19960421;14.6
GVE;19960422;15.3
GVE;19960423;12.5
GVE;19960424;12.5
GVE;19960425;12.4
GVE;19960426;13.3
GVE;19960427;14.1
GVE;19960428;13.7
GVE;19960429;13.2
GVE;19960430;12.3
GVE;19960501;12.0
GVE;19960502;9.2
GVE;19960503;7.1
GVE;19960504;10.6
GVE;19960505;12.2
GVE;19960506;14.5
GVE;19960507;14.5
GVE;19960508;13.8
GVE;19960509;12.4
GVE;19960510;10.0
GVE;19960511;12.0
GVE;19960512;11.4
GVE;19960513;11.6
GVE;19960514;12.7
GVE;19960515;15.0
GVE;19960516;16.8
GVE;19960517;17.0
GVE;19960518;16.9
GVE;19960519;11.3
GVE;19960520;11.6
GVE;19960521;11.5
GVE;19960522;11.8
GVE;19960523;15.9
GVE;19960524;18.2
GVE;19960525;16.9
GVE;19960526;17.3
GVE;19960527;14.8
GVE;19960528;14.0
GVE;19960529;14.4
GVE;19960530;18.4
GVE;19960531;20.4
GVE;19960601;17.8
GVE;19960602;14.1
GVE;19960603;16.2
GVE;19960604;17.7
GVE;19960605;18.9
GVE;19960606;22.1
GVE;19960607;23.5
GVE;19960608;21.3
GVE;19960609;19.8
GVE;19960610;21.1
GVE;19960611;21.6
GVE;19960612;22.7
GVE;19960613;20.5
GVE;19960614;18.0
GVE;19960615;18.1
GVE;19960616;18.3
GVE;19960617;19.7
GVE;19960618;21.3
GVE;19960619;21.9
GVE;19960620;20.8
GVE;19960621;16.5
GVE;19960622;12.2
GVE;19960623;12.6
GVE;19960624;14.2
GVE;19960625;15.0
GVE;19960626;15.0
GVE;19960627;16.4
GVE;19960628;18.9
GVE;19960629;19.8
GVE;19960630;17.5
GVE;19960701;17.0
GVE;19960702;14.9
GVE;19960703;17.1
GVE;19960704;18.2
GVE;19960705;16.7
GVE;19960706;15.5
GVE;19960707;12.3
GVE;19960708;12.5
GVE;19960709;14.6
GVE;19960710;15.9
GVE;19960711;16.9
GVE;19960712;18.8
GVE;19960713;20.8
GVE;19960714;22.0
GVE;19960715;22.9
GVE;19960716;21.7
GVE;19960717;19.7
GVE;19960718;19.4
GVE;19960719;19.1
GVE;19960720;18.3
GVE;19960721;17.9
GVE;19960722;20.7
GVE;19960723;22.6
GVE;19960724;21.3
GVE;19960725;20.3
GVE;19960726;19.8
GVE;19960727;20.9
GVE;19960728;21.0
GVE;19960729;21.6
GVE;19960730;21.1
GVE;19960731;20.9
GVE;19960801;23.3
GVE;19960802;21.2
GVE;19960803;19.4
GVE;19960804;17.7
GVE;19960805;17.5
GVE;19960806;21.0
GVE;19960807;19.9
GVE;19960808;19.2
GVE;19960809;21.1
GVE;19960810;21.1
GVE;19960811;18.6
GVE;19960812;16.7
GVE;19960813;16.9
GVE;19960814;18.1
GVE;19960815;18.7
GVE;19960816;18.3
GVE;19960817;18.9
GVE;19960818;19.1
GVE;19960819;20.1
GVE;19960820;21.4
GVE;19960821;18.7
GVE;19960822;17.1
GVE;19960823;19.2
GVE;19960824;18.4
GVE;19960825;17.1
GVE;19960826;15.5
GVE;19960827;15.1
GVE;19960828;14.5
GVE;19960829;13.4
GVE;19960830;13.6
GVE;19960831;14.8
GVE;19960901;15.3
GVE;19960902;14.1
GVE;19960903;14.4
GVE;19960904;15.8
GVE;19960905;16.1
GVE;19960906;15.3
GVE;19960907;13.3
GVE;19960908;13.2
GVE;19960909;12.5
GVE;19960910;11.3
GVE;19960911;12.2
GVE;19960912;13.4
GVE;19960913;10.9
GVE;19960914;11.6
GVE;19960915;12.3
GVE;19960916;12.4
GVE;19960917;11.1
GVE;19960918;11.7
GVE;19960919;11.7
GVE;19960920;13.3
GVE;19960921;13.0
GVE;19960922;12.6
GVE;19960923;11.0
GVE;19960924;10.7
GVE;19960925;9.5
GVE;19960926;11.5
GVE;19960927;12.7
GVE;19960928;13.7
GVE;19960929;12.2
GVE;19960930;14.9
GVE;19961001;14.5
GVE;19961002;10.9
GVE;19961003;10.5
GVE;19961004;10.7
GVE;19961005;10.0
GVE;19961006;10.1
GVE;19961007;10.9
GVE;19961008;12.1
GVE;19961009;12.4
GVE;19961010;11.9
GVE;19961011;11.6
GVE;19961012;10.5
GVE;19961013;9.9
GVE;19961014;11.3
GVE;19961015;13.3
GVE;19961016;9.1
GVE;19961017;8.7
GVE;19961018;8.5
GVE;19961019;9.9
GVE;19961020;9.1
GVE;19961021;12.1
GVE;19961022;10.7
GVE;19961023;9.8
GVE;19961024;8.7
GVE;19961025;10.7
GVE;19961026;11.0
GVE;19961027;11.0
GVE;19961028;14.5
GVE;19961029;13.0
GVE;19961030;6.7
GVE;19961031;7.2
GVE;19961101;10.7
GVE;19961102;7.9
GVE;19961103;8.4
GVE;19961104;10.8
GVE;19961105;9.9
GVE;19961106;6.8
GVE;19961107;11.7
GVE;19961108;7.9
GVE;19961109;3.8
GVE;19961110;7.3
GVE;19961111;8.7
GVE;19961112;11.5
GVE;19961113;9.2
GVE;19961114;6.5
GVE;19961115;5.7
GVE;19961116;6.1
GVE;19961117;5.9
GVE;19961118;3.5
GVE;19961119;3.2
GVE;19961120;5.8
GVE;19961121;3.3
GVE;19961122;1.7
GVE;19961123;1.1
GVE;19961124;1.0
GVE;19961125;2.9
GVE;19961126;4.7
GVE;19961127;2.4
GVE;19961128;2.1
GVE;19961129;-0.2
GVE;19961130;4.7
GVE;19961201;3.3
GVE;19961202;5.1
GVE;19961203;4.2
GVE;19961204;4.3
GVE;19961205;2.8
GVE;19961206;3.0
GVE;19961207;2.1
GVE;19961208;1.9
GVE;19961209;1.8
GVE;19961210;2.7
GVE;19961211;2.0
GVE;19961212;2.1
GVE;19961213;4.2
GVE;19961214;6.1
GVE;19961215;4.2
GVE;19961216;3.5
GVE;19961217;5.0
GVE;19961218;4.1
GVE;19961219;4.7
GVE;19961220;6.6
GVE;19961221;6.5
GVE;19961222;5.2
GVE;19961223;6.3
GVE;19961224;4.6
GVE;19961225;0.9
GVE;19961226;-4.2
GVE;19961227;-5.8
GVE;19961228;-3.2
GVE;19961229;-5.0
GVE;19961230;-4.4
GVE;19961231;-4.3
GVE;19970101;-2.9
GVE;19970102;-1.3
GVE;19970103;-1.3
GVE;19970104;0.2
GVE;19970105;-0.5
GVE;19970106;-0.2
GVE;19970107;0.2
GVE;19970108;-0.6
GVE;19970109;0.6
GVE;19970110;2.2
GVE;19970111;1.5
GVE;19970112;-0.6
GVE;19970113;-2.3
GVE;19970114;-2.5
GVE;19970115;-2.9
GVE;19970116;-2.7
GVE;19970117;-2.5
GVE;19970118;-0.6
GVE;19970119;1.1
GVE;19970120;2.5
GVE;19970121;3.6
GVE;19970122;3.2
GVE;19970123;4.2
GVE;19970124;3.9
GVE;19970125;3.2
GVE;19970126;3.5
GVE;19970127;3.4
GVE;19970128;3.4
GVE;19970129;3.1
GVE;19970130;1.6
GVE;19970131;0.8
GVE;19970201;0.2
GVE;19970202;-0.7
GVE;19970203;-0.7
GVE;19970204;-0.8
GVE;19970205;4.2
GVE;19970206;1.9
GVE;19970207;1.5
GVE;19970208;1.9
GVE;19970209;1.7
GVE;19970210;5.6
GVE;19970211;9.8
GVE;19970212;10.4
GVE;19970213;8.2
GVE;19970214;6.9
GVE;19970215;6.0
GVE;19970216;2.4
GVE;19970217;5.0
GVE;19970218;6.1
GVE;19970219;5.8
GVE;19970220;8.3
GVE;19970221;5.7
GVE;19970222;4.8
GVE;19970223;7.3
GVE;19970224;10.3
GVE;19970225;11.9
GVE;19970226;10.4
GVE;19970227;6.2
GVE;19970228;4.3
GVE;19970301;6.9
GVE;19970302;8.4
GVE;19970303;9.5
